EAN/UPC,Material,BUn,Category,Key Word,Art Desc,Aisle Number,Side,Aisle Section
1186311848,290550,EA,Deli,Deli Cheese Pre-Pack,Sartori Bellavtno Chs Merlot,80,L,0
1186311869,365013,EA,Deli,Deli Cheese Pre-Pack,Sartori Bellavtno Chs Espresso,80,L,0
16966,137081,KG,Kitchen,Chilled Entrees,Beef Ginger,80,L,0
2016922433,732764,EA,Produce,Value Added Prod,Hash Browns Shredded,80,L,0
2016922451,732763,EA,Produce,Value Added Prod,SimplPot Mashed Potatoes Trad,80,L,0
21299000000,655862,EA,Kitchen,Pizza,Pepperoni Flatbread,80,L,0
21300800000,655966,EA,Kitchen,Pizza,Chckn & Spinach Flatbread,80,L,0
21300900000,655933,EA,Kitchen,Pizza,4 Cheese Flatbread,80,L,0
21393800000,206407,KG,Deli,Deli Meat Service,Comp Ham Blk Forest,80,L,0
21602100000,732748,KG,Deli,Deli Cheese Bulk,Comp Brie Cheese Double Cream,80,L,0
21605300000,461863,KG,Deli,Deli Cheese Bulk,Emma Chs Parmigiano Reggiano,80,L,0
21629300000,1000242,KG,Deli,Deli Cheese Bulk,Jarlsbrg Cheese Half Wheel,80,L,0
21706100000,81947,KG,Kitchen,Salads,Chicken Salad S/M,80,L,0
21710200000,515648,EA,Kitchen,Sandwiches,Buffalo Chicken Wrap,80,L,0
21720800000,82578,EA,Kitchen,Sandwiches,Chicken Salad Sandwich,80,L,0
22053400000,653035,KG,Deli,Deli Meat Service,Panache Turkey Oven Roasted,80,L,0
22055100000,653774,KG,Deli,Deli Meat Service,Panache Turkey Oven Rst Honey,80,L,0
22062500000,766659,KG,Deli,Deli Meat Service,Schneidr Half Ham Old Fashiond,80,L,0
22143700000,947896,KG,Deli,Deli Cheese Pre-Pack,Emma CheesWedges Grana Padano,80,L,0
22151200000,952262,EA,Kitchen,Pizza,Pizza Pepperoni 12in Tke & Bke,80,L,0
22151600000,952541,EA,Kitchen,Pizza,Pizza Hawaiian 12in Take Bake,80,L,0
